Name,Team_Abr,W,L,ERA,GS,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,ADP
Lucas Giolito,CHW,16,7,3.00,30,180.0,129,60,21,248,56,1.03,12.40,2.80,2.98,5.8,18.2
Gerrit Cole,NYY,16,8,3.21,32,193.3,155,69,27,260,49,1.06,12.11,2.28,3.18,5.7,7.5
Shane Bieber,CLE,14,9,3.51,32,197.7,177,77,26,230,36,1.08,10.47,1.64,3.23,5.4,9.9
Jacob deGrom,NYM,12,6,2.85,28,176.7,138,56,20,217,40,1.01,11.05,2.04,2.99,5.1,5.3
Max Scherzer,WSN,13,6,3.22,27,164.7,136,59,24,219,40,1.07,11.97,2.19,3.32,4.5,27.8
Trevor Bauer,LAD,15,7,3.33,30,184.0,155,68,21,211,58,1.16,10.32,2.84,3.53,4.4,14.6
Aaron Nola,PHI,13,8,3.56,31,187.3,156,74,24,219,60,1.15,10.52,2.88,3.60,4.3,22.0
Walker Buehler,LAD,10,4,3.11,27,150.3,118,52,19,189,39,1.04,11.32,2.34,3.24,4.0,20.7
Jack Flaherty,STL,12,8,3.26,31,171.3,131,62,22,215,51,1.06,11.30,2.68,3.42,3.9,30.0
German Marquez,COL,13,9,4.29,32,186.7,191,89,28,200,49,1.29,9.64,2.36,3.90,3.8,179.1
Luis Castillo,CIN,13,9,3.63,30,173.7,147,70,21,197,62,1.20,10.21,3.21,3.69,3.8,27.5
Patrick Corbin,WSN,12,8,4.00,29,173.3,172,77,25,186,52,1.29,9.66,2.70,3.89,3.5,134.4
Clayton Kershaw,LAD,13,6,3.21,26,154.3,131,55,22,167,29,1.04,9.74,1.69,3.49,3.4,32.0
Jose Berrios,MIN,13,10,3.89,31,180.3,167,78,24,187,56,1.24,9.33,2.80,3.98,3.4,83.2
Chris Sale,BOS,9,5,3.35,20,121.0,103,45,14,147,28,1.08,10.93,2.08,3.23,3.4,307.6
Stephen Strasburg,WSN,9,5,3.50,21,126.0,111,49,15,142,37,1.17,10.14,2.64,3.53,3.4,68.1
Brandon Woodruff,MIL,9,6,3.71,25,138.3,121,57,18,160,42,1.18,10.41,2.73,3.66,3.2,31.6
Sonny Gray,CIN,12,8,3.72,28,152.3,126,63,19,170,60,1.22,10.05,3.55,3.86,3.2,71.3
Yu Darvish,SDP,10,6,3.52,26,151.0,124,59,21,182,46,1.13,10.85,2.74,3.68,3.1,17.6
Tyler Glasnow,TBR,10,6,3.63,25,134.0,104,54,18,187,54,1.18,12.56,3.63,3.47,3.1,47.2
Andrew Heaney,LAA,9,6,4.00,26,146.3,133,65,23,163,37,1.16,10.03,2.28,3.93,3.1,219.6
Zac Gallen,ARI,12,8,3.74,29,163.7,144,68,24,193,54,1.21,10.61,2.97,3.90,3.0,39.5
Justin Verlander,HOU,11,7,3.35,23,145.0,113,54,24,179,33,1.01,11.11,2.05,3.66,3.0,594.8
Kevin Gausman,SFG,10,7,3.93,26,151.3,142,66,19,160,41,1.21,9.52,2.44,3.64,3.0,137.7
Zack Greinke,HOU,11,8,3.74,29,171.0,158,71,28,168,33,1.12,8.84,1.74,4.01,3.0,105.0
Mike Clevinger,SDP,11,6,3.35,25,137.0,109,51,15,152,52,1.18,9.99,3.42,3.62,3.0,597.7
Eduardo Rodriguez,BOS,11,8,4.23,28,164.0,159,77,21,167,60,1.34,9.16,3.29,4.05,3.0,216.3
Hyun-Jin Ryu,TOR,10,6,3.58,24,138.3,133,55,19,133,28,1.16,8.66,1.82,3.75,3.0,71.1
Zack Wheeler,PHI,10,7,4.14,28,171.7,166,79,24,161,48,1.25,8.44,2.52,4.12,3.0,99.1
Marco Gonzales,SEA,12,11,4.13,27,159.0,163,73,22,131,38,1.26,7.42,2.15,4.20,3.0,177.3
James Paxton,SEA,9,6,3.65,23,120.7,103,49,16,147,38,1.17,10.96,2.83,3.50,2.9,232.8
Joe Musgrove,SDP,12,8,3.89,26,141.0,130,61,20,147,33,1.16,9.38,2.11,3.82,2.9,125.1
Charlie Morton,ATL,11,6,3.66,26,137.7,123,56,16,151,45,1.22,9.87,2.94,3.75,2.8,119.3
Lance Lynn,CHW,12,8,3.97,27,165.3,150,73,27,182,56,1.25,9.91,3.05,4.30,2.8,53.9
Carlos Carrasco,NYM,11,7,3.59,23,142.7,123,57,21,166,37,1.12,10.47,2.33,3.68,2.8,64.1
Blake Snell,SDP,11,7,3.51,26,133.3,106,52,17,164,53,1.19,11.07,3.58,3.63,2.8,42.2
Matthew Boyd,DET,11,11,4.55,30,164.3,159,83,28,179,49,1.27,9.81,2.68,4.29,2.7,313.8
Robbie Ray,TOR,10,8,4.15,29,151.7,124,70,24,208,80,1.34,12.34,4.75,4.21,2.7,329.9
Kenta Maeda,MIN,10,8,4.12,24,135.3,120,62,20,154,45,1.22,10.24,2.99,3.95,2.7,50.9
Max Fried,ATL,12,8,4.03,26,145.0,140,65,16,146,53,1.33,9.06,3.29,3.88,2.7,70.5
Luis Severino,NYY,9,5,3.64,19,113.7,103,46,16,124,30,1.17,9.82,2.37,3.73,2.7,448.4
